driver_id,first_completed_trip,lifetime_rating,lifetime_fares,lifetime_completed_trips
4649-8cbc,2/15/12,4.58,11147.86,1306
44e9-db58,1/11/12,4.52,10212.02,1116
49fa-23f0,2/20/12,4.61,5980.04,636
4761-ce55,4/21/12,4.77,706.10,70
474c-8b38,9/16/11,4.67,13712.35,1298
4dff-1b21,1/11/12,4.79,14601.28,1702
4c6d-22db,3/28/12,4.90,975.89,89
43f3-ed32,10/17/11,4.72,5191.02,537
4d87-1393,6/2/10,4.78,37773.80,4119
4f20-ad68,11/9/10,4.71,23182.42,2431
4c90-950a,12/11/10,4.64,34667.30,3847
4025-dc78,8/29/11,,1174.37,180
4005-68e6,3/15/12,4.74,4167.11,360
432d-c81a,8/21/10,4.85,27659.06,2875
4a8c-40bf,8/7/10,4.47,39607.13,3480
40b3-4b1f,7/16/10,4.72,57591.37,5861
40e2-6fee,10/25/08,4.80,46995.80,2714
4505-3bc0,8/27/08,4.82,258998.50,8761
415c-1c1b,1/8/10,4.74,34073.54,3640
4355-d53d,8/4/07,4.78,216194.18,9374
448d-9038,11/11/11,4.69,28040.94,2972
46aa-6579,7/30/09,4.58,66376.66,4239
4b13-fda7,11/3/10,4.88,24194.54,2637
45f2-c9c3,9/23/07,4.78,164770.50,6505
421d-fd9a,6/22/10,4.69,6019.68,606
4f3b-36c5,3/9/11,4.79,49847.32,5205
45bb-5847,8/21/09,4.74,93875.64,9999
4268-b91c,7/6/11,4.68,24333.51,2836
489c-45e3,1/31/11,4.81,15406.92,1722
468c-39ae,3/8/12,4.81,5371.91,560
42c5-ea43,8/10/10,4.67,6801.83,699
4bb8-66bd,6/16/07,4.71,226156.21,11710
44a4-f9ed,11/8/11,4.78,6973.31,695
47b6-2c8e,12/14/10,4.80,11827.17,1182
4153-9769,4/18/11,4.71,14204.22,1715
4772-e969,1/17/12,4.79,12165.92,1148
4c84-f5dd,11/28/09,4.73,52511.08,4903
4542-f3fd,9/20/10,4.95,1310.63,152
4374-91bf,4/3/12,4.87,3089.69,357
49d4-2b33,1/23/11,4.74,17113.59,1905
4b6a-aac7,8/5/11,4.66,4343.34,502
47b9-fd57,6/24/10,4.77,24953.23,2090
4a02-f1be,3/14/09,4.81,20352.77,2042
4da7-b331,1/18/11,4.85,33796.90,3734
43e4-b120,3/29/12,4.72,2383.36,222
4d1d-4b67,5/11/10,4.90,21485.30,2132
49e9-0979,3/18/11,4.56,20851.83,2368
4fb9-1f25,3/29/09,4.79,13952.81,1385
4f23-2410,12/27/09,4.77,35473.30,3759
4208-17fb,9/19/10,4.91,4196.59,453
41c8-6638,11/19/11,4.93,7958.51,867
451f-e048,11/11/11,4.82,19497.66,2102
44f2-eb47,2/18/07,4.71,32365.49,1435
4d8b-ad3f,4/23/09,4.78,55008.88,5529
4058-36b8,4/25/10,4.78,105177.17,9737
4451-9187,10/25/11,4.94,1255.03,147
4869-fcc3,7/24/08,4.78,95038.02,3993
408d-8ab9,3/24/09,4.72,42031.52,4275
4915-8dc3,8/19/09,4.70,12417.29,1295
4394-4c5e,9/21/11,4.66,13006.10,1317
4cd4-2ff8,1/6/10,4.62,10287.02,1105
40f7-354a,10/16/10,4.87,1691.61,153
41f1-9522,1/5/11,4.85,33378.00,3634
4b90-7b5b,12/9/11,4.78,20518.62,2159
4e8d-92a0,11/24/11,4.93,4190.97,440
4113-6cc5,10/25/11,4.79,12714.78,1411
48c5-a662,9/9/09,4.74,55140.76,5826
414d-995b,10/25/11,4.79,11201.48,1412
424c-5db4,9/16/11,4.65,30145.68,2608
47a2-9e1b,12/7/10,4.81,13898.40,1583
4a1f-ef2a,8/19/09,4.80,111459.48,11241
4add-8255,1/7/12,4.88,2457.80,293
454e-591f,3/12/10,4.12,23382.13,3349
4e15-010b,4/17/11,4.86,22594.39,2318
4e91-a0fe,8/7/10,4.59,26091.58,2829
4f09-6c2e,2/5/12,4.91,3630.98,395
4824-0566,3/13/11,4.72,34810.05,3668
40d4-b602,9/27/11,4.74,19390.54,2066
46b4-992c,3/4/12,4.76,3487.33,349
494d-eb02,6/2/10,4.78,25553.74,2163
4105-95f3,10/10/10,4.74,26259.74,3125
44d6-1352,1/22/10,4.79,44286.50,4513
4571-2ac7,1/13/12,4.87,18671.05,1980
4788-eff2,12/20/08,4.62,28466.98,2547
4093-7b27,4/7/11,4.85,27889.45,2963
4b63-87e9,1/16/09,4.75,9795.91,1042
4cbf-aa40,11/25/11,4.80,6857.03,686
418a-7a0e,10/28/10,4.77,46394.27,5337
4bc9-87dc,12/23/11,4.80,21422.62,2268
4b1c-ae90,6/25/10,4.61,22120.78,2011
4bf9-a604,10/19/11,4.82,20098.58,2075
4840-6c1c,11/23/10,4.63,16303.54,1729
41ac-9878,8/17/11,4.83,6591.14,568
4092-cfa1,12/26/11,4.80,7720.06,842
49a4-c5d0,12/29/11,4.83,7404.34,921
442d-03bf,6/19/09,4.76,55311.71,5997
4ac1-a4e0,4/3/11,4.70,11467.66,1260
467d-40bd,10/19/10,4.75,45657.79,5363
4cbf-cc2e,2/2/11,4.49,10772.58,1123
4a2f-f0d1,2/28/11,4.76,1837.62,196
4857-3cd1,6/5/11,4.75,36580.97,4143
4bae-0c20,4/14/11,4.62,6752.04,696
46d2-7c31,9/29/07,4.75,129430.43,6171
4bbe-90cb,12/10/11,4.66,10568.44,1140
46ee-5a8c,3/17/10,4.73,5656.45,488
496c-80b9,7/2/11,4.83,28504.54,3332
4813-e490,8/26/11,4.83,16438.10,1869
45e5-c362,10/8/10,4.79,65082.98,6488
4279-dab6,8/19/09,4.77,41885.86,4548
4aa2-9be3,12/12/09,4.82,27591.49,2545
4b32-a7df,8/27/11,4.85,26401.91,2992
4345-4cb6,3/5/12,4.93,3382.04,320
48c1-15b7,9/26/09,4.78,108639.98,10657
47f2-be86,2/6/12,4.92,8315.01,309
43fb-868e,3/26/11,4.88,15165.03,1541
4bdf-0d1c,8/12/10,4.83,18406.66,1980
4587-876a,9/19/10,4.73,48433.28,4744
416f-b3eb,12/25/08,4.84,34704.94,3872
4679-16cc,10/19/11,4.85,26281.47,2454
45d6-7672,12/20/08,4.84,25348.60,2925
49d6-85be,11/6/09,4.65,18823.87,2009
451d-bbf4,5/5/11,4.78,3791.30,392
40ab-6d83,1/28/10,4.85,34948.45,3264
4398-5df9,5/14/10,4.77,110545.32,6687
4a04-6647,6/2/10,4.85,17385.14,1728
4ca4-b201,12/11/10,4.84,31178.86,2885
4d4e-b38e,10/23/11,4.77,25180.86,3081
4e47-ad89,10/19/11,4.82,13394.29,1543
4bc2-eac6,4/11/12,4.86,987.58,111
41c3-5c2e,1/23/12,4.73,9626.85,972
41d5-65a4,8/10/09,4.77,76637.64,6880
4d10-77e7,7/20/10,4.65,71682.71,6904
4668-a135,11/12/10,4.69,70298.78,8327
445e-dd18,2/3/10,4.81,39513.56,4477
4622-865d,10/13/11,4.64,7042.60,707
44ba-7074,12/16/10,4.78,51886.29,4733
48a5-ef1e,3/9/11,4.81,27300.88,3039
4e93-9e57,4/5/12,,240.47,41
4976-2467,7/28/11,4.84,6944.24,398
4185-0faa,10/31/09,4.64,80422.06,8063
41b5-471b,4/7/09,4.77,57655.61,5790
4dce-31fe,7/3/10,4.78,20534.99,1964
4211-bacb,7/27/11,4.95,26573.88,1001
4d7c-5cf6,2/8/11,4.83,38477.12,3629
48ea-d341,1/6/11,4.72,6902.00,708
4dcf-af71,3/24/12,4.84,1402.26,147
4927-8755,6/20/10,4.67,7084.50,747
4a9b-3043,6/26/11,4.84,27364.71,2907
41a9-14ae,5/3/12,4.71,295.34,30
469d-1469,1/20/10,4.83,28957.01,2814
41d4-a791,3/5/10,4.73,26193.51,3001
4801-937d,2/19/11,4.81,11596.33,1166
4af8-cc89,3/8/12,4.86,2834.86,280
4460-1302,5/13/07,4.75,225674.95,8626
4105-f34d,7/6/10,4.87,36960.86,2828
48e2-ffd9,10/13/11,4.88,11169.64,1178
4bdf-f4c6,10/3/09,4.90,54044.50,5324
4d3e-d593,3/25/11,4.76,23332.74,2253
4e96-6b81,10/3/10,4.91,23576.78,2322
441d-592a,8/8/11,4.57,26663.01,2790
4e53-61b2,3/23/12,,1001.88,154
498e-70ce,9/29/10,4.77,46299.22,4781
4ce2-480d,9/18/10,4.84,4875.19,514
40fc-4b19,11/1/11,4.81,4700.94,518
4474-6e77,7/30/10,4.80,47797.63,4375
4c7d-568e,10/27/10,4.78,34283.10,3278
461d-4985,12/24/11,4.86,1157.93,141
4301-e9f3,9/2/11,4.87,24770.75,2331
4b17-79e4,4/5/12,4.79,853.79,92
43e2-6023,1/6/11,4.70,55940.10,6213
4deb-4851,12/16/10,4.78,55026.80,6173
4ce5-6ca6,1/30/10,4.78,92929.42,10355
406f-91e9,7/2/11,4.66,8685.42,993
428b-c95f,2/13/12,4.85,9530.72,839
475a-42d4,10/16/10,4.81,19475.71,2004
4c02-9ea9,6/10/11,4.77,25141.90,2917
40a1-406f,9/10/09,4.73,175890.74,5918
4d19-fad5,1/13/12,4.89,10979.91,1304
4094-43b6,12/4/11,4.88,36570.06,1001
45b1-0841,6/20/10,4.71,34319.72,3871
4f25-7a51,8/25/11,4.90,7518.08,924
40f1-5b71,12/1/10,4.75,10163.16,1072
41f9-f143,1/20/11,4.84,59567.37,7001
4830-64eb,11/11/10,4.83,8661.30,782
4195-04c3,10/13/11,4.90,12051.88,1459
4bfb-2084,10/10/11,4.82,11741.57,1438
4474-94f5,6/12/10,4.85,20567.58,2391
4633-de62,12/19/11,4.87,7934.07,849
4287-4bcb,11/9/11,4.68,10409.13,1155
4d89-c1a6,3/30/09,4.72,158703.54,15329
4098-1fa9,8/8/11,4.91,16291.65,1885
4382-69c2,6/14/10,4.81,19445.31,1747
4bac-ad09,9/14/10,4.74,10627.85,1094
4a04-7e58,1/24/09,4.76,151286.69,16533
416e-4d3a,4/20/11,4.89,62509.17,6948
47a4-1d0c,5/9/11,4.57,3706.24,445
4371-ff98,4/21/09,4.73,20323.98,2266
42f2-82ea,1/22/11,4.82,52427.34,4815
40dd-9c7d,8/5/11,4.80,3137.42,239
4df8-112e,4/3/12,4.92,2278.62,206
4551-0f09,3/28/12,4.72,2319.70,229
4a66-3ba4,8/1/11,4.85,19027.66,2191
40a1-14e4,10/26/11,4.48,2455.56,303
4a19-84ea,3/19/11,4.82,35491.03,4071
4c93-e70e,1/21/11,4.64,33414.25,3558
41af-bc39,5/25/10,4.76,19887.38,2023
4715-f438,8/8/11,,369.50,51
4055-8dee,4/17/12,4.68,3701.66,366
428f-bcfe,11/27/10,4.84,23420.40,2615
426e-f4ce,8/6/10,4.70,44062.77,5026
45e5-4e50,2/24/12,4.69,9621.62,1043
4551-9179,12/17/10,4.77,4242.96,458
46d9-eda1,2/26/09,4.81,18657.16,1983
4998-34cb,7/10/11,4.72,38592.43,3383
4970-5ef8,1/15/10,4.66,28002.77,2748
447a-841b,6/10/09,4.77,103490.43,9068
4d10-51ac,3/31/12,4.77,1491.87,146
4a0d-b06d,6/17/09,4.74,71673.38,6345
4930-cc55,2/7/11,4.81,40572.73,4431
4231-00a6,3/27/12,4.73,3451.86,324
4017-82e1,7/21/10,4.79,49197.57,5576
4bf9-5597,3/21/08,4.57,58440.46,4325
453e-1701,10/6/11,4.74,17072.29,1733
4edf-b9c4,7/17/11,4.75,10759.49,1028
476a-b663,2/8/11,4.74,81382.32,7662
4763-c8f3,1/11/10,4.63,15045.43,1075
499e-f951,8/26/09,4.86,202823.68,5699
4fe4-78da,2/25/10,4.75,70098.54,7701
4ac1-fbd3,8/21/11,4.94,16772.19,1839
4a7a-b708,6/17/10,4.84,38423.32,4157
4894-2896,4/13/12,5.00,173.14,21
467f-bb63,2/4/12,4.72,5357.18,526
442f-cb2e,3/26/12,4.86,1071.25,109
4066-b208,4/18/10,4.87,224064.70,8732
4dc2-6e95,12/28/11,4.72,2328.06,227
4d08-8a7c,5/17/11,4.87,19449.22,2016
4fb0-3cf1,2/15/12,4.84,6446.02,643
4b74-6acb,10/28/11,4.67,2509.92,255
4406-4e52,2/25/10,4.77,2649.52,244
4032-cfcc,12/17/08,4.79,79196.09,8008
4479-c46e,12/26/09,4.85,47894.18,5099
4aa2-a82e,10/23/09,4.79,25873.76,2503
4ee2-a0f4,2/1/12,4.70,9527.84,1050
44a8-ee5c,11/13/10,4.81,11610.96,1007
46ac-23e6,6/4/11,4.87,21241.96,2298
4ece-a29f,9/30/10,4.81,24177.26,2694
4025-2d73,10/11/11,4.57,20845.41,2207
4148-f175,4/28/11,4.77,42040.82,4945
436a-7662,2/13/12,4.89,2343.07,265
42b0-0f1a,5/1/12,4.74,512.66,45
4f42-0cc1,2/6/12,4.94,9577.13,1071
4e3a-e0a4,11/7/11,4.83,19126.47,1922
4f67-f634,3/31/10,4.83,37949.83,4279
4a4f-9f78,4/12/10,4.71,18973.64,2076
4061-1aca,7/29/10,4.86,34312.47,3736
4b95-938a,2/24/12,4.71,546.85,53
4da7-c77e,4/6/12,4.75,2943.77,309
4d0b-59ff,12/17/11,4.58,10259.39,973
491c-5d5c,1/24/11,4.66,41780.19,4683
44dc-00aa,9/9/10,4.77,38192.23,4195
4d74-c634,3/17/12,4.88,2983.50,358
4c03-068c,4/10/09,4.76,23242.14,2443
4b20-7048,6/26/10,4.78,28268.48,2769
4f02-f79b,4/23/12,4.78,2328.24,200
4b55-1431,10/27/10,4.76,37849.42,3896
4f2b-816b,3/3/12,4.56,479.18,47
471e-8513,5/7/10,4.78,58162.32,6062
48ba-506e,9/13/10,4.84,139810.76,7216
4594-1c7b,3/12/12,4.65,10991.38,1032
4556-17d2,5/16/08,4.79,351369.31,13963
450d-ab4a,3/4/12,4.84,1934.58,204
4049-7959,2/26/11,4.82,23987.70,2521
4e7a-9b93,4/19/12,4.25,200.57,23
4248-37d4,3/4/08,4.83,138884.67,5377
4af0-81f9,2/18/09,4.80,65304.41,6309
46f4-c429,11/7/11,4.85,26797.30,2680
447b-0aa2,9/10/08,4.73,125754.66,12002
4ae8-2ef4,3/6/12,4.81,2458.25,262
4048-0285,1/27/12,4.77,3492.82,336
464a-be92,3/9/12,4.81,3234.45,320
46f3-7dcf,4/1/11,4.52,3216.78,321
4c22-0a7f,12/12/09,4.82,56020.52,5331
46ce-a8e1,11/2/11,4.50,11628.80,1139
443f-cc40,6/10/10,4.88,34963.66,3514
425f-7469,4/23/10,4.80,33838.71,1971
47c9-8016,3/26/12,,1172.06,173
45b8-313f,3/27/12,4.63,1856.74,179
4f97-633f,8/29/11,4.71,2419.49,257
49ce-ad9c,7/22/11,4.82,37931.90,4188
4429-0ccf,4/23/12,5.00,191.37,24
4e69-1f65,1/10/12,4.77,3974.66,458
4d83-a84d,10/31/11,4.84,22274.82,2351
4632-c98c,11/8/11,4.81,12323.20,1500
4f49-9c41,11/27/11,4.89,12330.39,1285
4cb5-21c7,4/12/12,4.87,1424.06,134
459c-90dd,9/9/11,4.60,6054.06,681
486d-f99e,8/19/10,4.87,10183.19,1017
498f-f8aa,7/28/11,4.89,40617.06,1611
443c-3a14,9/27/11,4.85,12088.62,1262
4341-7362,10/15/11,4.79,18982.04,1551
454c-b4e2,4/13/11,4.84,10288.39,960
455c-82be,10/8/09,4.53,3719.45,369
48a8-a2d4,5/16/11,4.79,5177.70,510
4402-b26d,11/20/10,4.84,4766.58,489
4250-52a0,5/5/10,4.86,137351.95,13846
4a0a-7cd9,1/22/11,4.80,9758.93,888
4b43-e169,3/30/12,4.69,4155.43,433
4353-e954,3/18/12,4.84,822.74,74
44b6-48a4,12/13/10,4.66,33029.67,3045
48dd-fd03,4/5/12,4.89,2122.30,229
41cc-1d5c,8/6/11,4.52,18086.06,2034
483a-ed73,4/18/12,4.80,1990.30,215
4f05-89e8,12/13/11,4.72,13797.14,1568
4ec8-f5de,11/18/11,4.77,11111.72,1124
4373-ed31,8/31/09,4.69,52474.27,5633
440a-cc70,4/13/07,4.87,99094.16,4481
4250-e6cb,7/16/10,4.73,11670.02,1227
4e13-1492,12/24/11,4.91,4780.97,512
47a9-a62c,4/7/12,4.76,1442.22,139
4371-a595,4/9/11,4.62,18750.08,2143
44da-ed2c,4/14/12,4.61,1130.94,127
4f2b-6fe3,4/27/12,4.92,445.18,48
414c-85e4,11/15/10,4.87,24661.03,1974
4da4-25a7,10/28/10,4.57,26022.03,2945
4521-4ca9,11/9/11,4.87,734.31,90
4e25-e389,8/15/08,4.80,119807.78,4993
496f-ea3a,4/2/12,4.79,1350.03,168
4f99-482b,7/9/11,4.82,11863.22,1061
4593-155b,8/18/11,4.77,17239.38,1639
40ca-127d,7/30/11,4.81,7259.31,688
4e4f-8481,10/7/11,4.68,28533.62,2973
49f8-5d7c,3/26/11,4.69,45134.02,4608
46c6-29a5,2/11/11,4.72,54042.90,3364
4aeb-06c5,8/1/10,4.89,106284.78,3717
4d70-2d03,2/16/12,,1701.28,220
4a97-bafc,9/23/10,4.88,40969.31,4738
457e-09f1,4/10/10,4.86,38246.35,3219
4a9e-7294,8/8/08,4.85,307249.10,12162
4aef-af44,7/6/10,4.71,20654.82,1865
4cfc-d339,9/2/10,4.84,21529.87,1954
42a9-d441,4/29/11,4.66,35313.60,3474
4318-fd21,3/2/12,4.54,7322.08,772
4989-e52d,10/23/09,4.80,23887.31,2548
4c1a-3e52,3/19/12,4.75,5953.17,526
4858-48f3,4/14/10,4.82,52496.06,5778
4c22-f7ed,7/13/10,4.49,18894.99,2486
4acd-e391,12/17/08,4.85,261815.95,8355
4457-e476,4/29/10,4.88,74001.77,8393
4c20-3327,7/29/11,4.79,12895.97,1362
42a4-7d3c,10/14/11,,1196.51,183
4936-5bb6,6/30/11,4.82,17169.72,1839
41d7-28fd,3/27/12,4.97,2199.86,224
4aec-ff9f,12/2/10,4.83,15964.11,1733
49a1-3bb1,3/14/11,4.66,33049.26,3582
4ee9-83aa,9/29/11,4.63,11417.75,1296
4b41-a71d,1/30/12,4.82,2030.46,212
4f89-001d,1/22/10,4.81,74779.12,7799
4d62-970f,11/22/11,4.79,3999.43,438
40de-109b,10/14/09,4.84,38703.63,3841
4285-14b6,3/23/12,4.37,3766.73,445
46d4-042f,9/20/11,4.62,20232.49,1919
4282-7b4f,4/13/12,,1229.09,178
4d26-e707,7/18/10,4.75,7760.35,702
43b1-011a,1/21/12,4.82,5398.77,567
4ea3-ab21,4/27/11,4.73,39580.41,4150
43bc-9d9d,12/12/08,4.83,104916.74,11289
45e1-4999,6/6/09,4.66,81758.96,9462
4b5b-33ab,2/13/12,4.78,5195.18,585
45eb-d3a2,7/3/10,4.82,27484.37,2888
45bd-ba2d,9/17/10,4.80,60933.45,6550
4a7a-04b7,3/24/09,4.76,87529.77,7852
454e-242c,10/22/09,4.80,14919.60,1696
46d1-57e8,12/22/09,4.86,57710.10,3752
47d2-5a09,3/5/12,4.83,4763.85,493
46c8-c0b0,12/27/11,4.85,9289.97,1119
4a52-b7c1,12/3/11,4.76,11216.50,1370
4c58-40c9,6/18/11,4.63,6030.71,564
4344-518b,11/20/10,4.77,16581.68,1798
46fc-b976,6/30/10,4.83,7035.97,625
4c5b-a9ba,10/14/10,4.70,55381.86,6064
4d34-72bf,10/13/11,4.80,16240.48,1879
48ec-85d2,4/4/12,4.84,1641.78,160
4c2d-55d4,2/17/07,4.81,152075.10,5883
4319-de5c,9/25/11,4.85,32482.98,3433
45fd-a82f,6/17/11,4.75,41053.08,4530
4373-4902,11/22/11,4.67,8927.56,1012
4ee4-6d20,2/25/12,4.90,5766.30,394
41a2-987d,9/7/07,4.71,178440.57,6225
4443-576d,3/17/11,4.81,38705.84,4191
4431-ea4e,3/7/12,4.89,598.69,36
4c96-8541,1/20/12,4.88,4960.57,529
4c00-8946,7/7/11,4.78,12330.24,1521
4982-2fdd,5/12/11,4.85,22544.10,2159
4a4e-2ec5,9/1/11,4.89,13285.87,1450
4ae8-bdf2,1/7/10,4.82,73849.22,7612
48bb-bca6,6/26/10,4.80,43235.10,4781
42e5-8070,12/26/11,4.75,3208.81,308
4b62-6148,11/25/10,4.85,38166.57,3430
41ec-b40c,8/19/11,4.81,7339.62,831
4bf8-f2f6,3/21/10,4.83,20801.50,2377
4e68-9f45,6/25/11,4.85,25161.55,2642
4398-dbbf,8/8/10,4.89,25937.93,2169
489d-6cb8,9/6/11,4.94,6230.07,711
4627-2c17,2/26/12,,2094.29,321
43e8-3aa3,9/12/10,4.84,48218.42,5587
4e94-f97c,7/25/11,4.88,10771.34,1383
427c-7d3e,5/16/10,4.79,18576.10,1895
4d67-1b7e,12/18/10,4.81,22911.84,2301
41a6-28f4,6/4/11,4.80,6663.59,494
48b3-bd03,4/21/12,,215.08,33
45fc-7376,11/5/09,4.76,53748.26,4841
4167-cfc0,3/28/12,,2005.90,302
4b70-bcb1,8/6/11,4.84,36189.18,3966
4eb2-bbf8,8/10/11,4.22,8401.88,1077
424f-5bf5,5/29/10,4.79,5700.90,736
4e96-c1fa,6/9/11,4.80,21263.45,2279
431a-c474,10/13/11,4.83,1511.55,159
4890-112b,12/7/10,4.59,8273.59,893
4bef-adca,12/20/06,4.67,233417.73,8447
4e82-ef13,10/13/10,4.63,40087.20,3473
40d1-1cbc,8/14/11,4.65,20296.06,1936
4bca-2d23,1/17/10,4.75,49613.14,5601
4dd1-2253,12/9/09,4.94,70949.61,7415
4067-c8e0,4/7/12,,1163.02,181
447b-1536,10/8/11,4.72,10122.35,1161
467e-aaec,5/10/11,4.65,1464.63,166
4405-088c,4/6/12,4.66,1561.87,144
4f5f-c362,1/21/11,4.79,16125.68,1703
4fb0-7647,7/19/11,4.91,9876.69,1228
41fc-ea38,10/10/08,4.74,153481.26,14967
4ba7-a144,11/17/11,4.70,8621.94,1013
440a-5248,8/7/10,4.74,14908.87,1532
4a47-2a89,2/13/12,4.68,9379.22,1015
4873-088c,4/7/12,4.52,375.52,58
4a9d-bf67,12/8/09,4.86,53003.95,5049
4153-a961,1/17/10,4.61,12704.59,1325
43d5-d295,2/11/12,4.74,5455.64,681
4cbe-3756,7/26/11,4.67,18010.80,2230
4922-ca0d,4/29/12,4.66,1137.26,135
4b5c-620d,12/17/09,4.83,20143.90,2340
4a40-aaaf,10/16/08,4.74,175562.19,5900
4e0a-a9f4,11/16/11,4.70,1374.02,162
488e-8a7c,1/27/12,4.81,14951.41,1506
4654-1fa8,11/18/11,4.81,460.46,44
4fe5-b913,9/5/11,4.45,8098.59,754
430d-32d9,8/7/10,4.72,20757.85,2260
4f5e-20ad,3/1/12,4.68,1892.24,177
46d7-b8b4,7/4/11,4.83,19671.62,2046
4b42-0816,3/16/12,4.84,2622.76,311
4d4a-4c48,12/19/06,4.78,71304.50,2831
4f81-0ad8,8/5/08,4.83,282068.17,12256
48e2-b292,2/1/11,4.85,4252.83,546
424e-3cc1,4/12/12,4.41,2356.58,248
4292-dd7c,11/20/10,4.65,10586.86,1106
4846-bbe3,9/8/11,4.84,17630.78,1789
41e0-686f,3/10/12,4.93,640.51,68
4b06-1ed8,7/25/11,4.60,13970.30,1707
4f8d-0305,6/27/11,4.87,16633.96,1770
4846-0f96,4/10/12,4.89,330.46,45
4858-9a3e,10/30/11,4.81,11752.16,1054
4e4a-83b6,9/6/11,4.80,22616.58,2199
4ae9-3856,5/7/10,4.67,23495.02,2689
4f3c-7cf2,8/12/11,4.89,10949.31,1219
4de7-4521,12/12/11,4.69,8510.38,808
4213-cac4,5/29/09,4.79,85928.00,9253
4a7c-f404,10/28/11,4.65,14300.78,1375
4c47-df3a,8/11/09,4.66,19867.89,1824
495c-0b3d,1/5/09,4.84,227180.58,8301
4c0d-0dd0,7/5/11,4.83,25200.41,2263
419b-f16f,12/28/08,4.75,120880.92,12881
4d64-c7d8,10/4/10,4.97,962.78,104
4247-8c06,1/16/10,4.64,6405.05,723
4ef7-0cdf,4/10/12,,614.54,108
4017-c6c3,11/7/09,4.82,21658.04,1995
455e-79bd,10/23/11,4.94,906.64,70
433c-00e7,1/2/12,4.89,5702.27,496
42ad-6636,4/23/10,4.80,66323.12,7131
415e-2d93,2/26/11,4.84,43227.66,4716
49d4-e1e6,2/12/11,4.82,37949.20,3877
45ab-22c0,10/8/11,4.78,20237.70,2616
44a0-c0c5,4/22/12,4.51,860.25,80
42d3-7dc6,5/4/10,4.77,5617.71,394
40ad-62ad,11/28/10,4.71,33120.24,3413
491e-688c,3/30/11,4.84,21413.94,2352
4b9e-e8d4,7/13/11,4.79,8311.74,953
4f52-b791,3/28/09,4.76,124153.18,13340
4826-f591,11/14/08,4.58,111581.11,9985
4c9a-221e,2/1/11,4.69,48553.16,5117
4de2-735d,3/12/11,4.75,47112.95,5160
4f59-a8a9,7/16/11,4.87,14780.83,1478
4ebe-5a69,4/23/11,4.72,43061.40,4694
4b23-71b1,7/17/09,4.65,81847.17,8582
4449-56b2,7/7/11,4.86,25889.60,2585
454c-63e8,12/12/08,4.74,124205.51,12161
40c9-de0b,8/21/09,4.80,26672.86,2151
