rider_id,first_completed_trip,lifetime_trips,first_trip_city_id,lifetime_payments
a2e4-1719,6/13/10,59,1032,667.98
c1ed-bf9f,3/19/12,19,1032,246.02
d7eb-4caf,7/20/10,339,1032,3640.15
1ad4-7312,7/10/11,149,1032,1937.21
bed5-105f,7/13/10,25,1032,380.01
e992-dd0d,3/12/10,165,1926,1493.99
e99c-b8ea,5/3/10,468,1032,4986.97
1739-5235,5/20/07,275,1032,4639.10
22fa-987e,2/2/09,166,1032,1866.28
2de3-8a0c,7/4/09,143,1032,1050.46
435f-6921,2/5/07,868,1032,10425.96
5a6f-3a68,12/18/10,418,1078,4222.44
9108-8115,12/27/09,268,1012,1932.39
9e2b-393e,7/4/10,150,1032,1193.95
c55f-1671,9/10/09,366,1032,3181.27
efb8-59a5,12/2/09,244,1032,1822.87
f398-781e,7/22/08,333,1020,7049.90
fc32-865b,2/14/10,169,1708,1387.62
2767-1d09,2/27/11,164,1032,1883.21
3864-28d1,9/20/09,370,1032,3435.35
44cc-0243,7/12/09,266,1078,2315.96
97f2-745d,9/18/09,589,1032,4437.69
c672-df23,12/29/07,456,1032,6778.57
d746-1ee7,1/18/08,537,1032,6946.47
57af-a889,9/17/11,75,1032,756.41
89a7-2b1c,10/17/08,284,1032,3377.72
aa9c-96fb,5/5/12,1,1032,26.82
eb66-0e85,7/30/09,227,1032,1984.10
efa5-bb0d,2/23/08,142,1032,1348.30
0aa1-ae8d,5/1/09,136,1078,1093.14
1c8e-4e9b,4/10/12,10,1032,125.40
4655-9ce1,11/6/10,157,1032,961.87
53b3-72df,1/26/08,63,1032,944.73
5784-4f28,3/7/09,411,1066,2866.33
87f8-b2b9,11/6/10,26,1138,280.60
1aad-ff92,8/1/07,230,1028,2377.49
5e55-01c4,8/2/08,351,1032,3312.27
74f5-5dee,10/7/11,18,1032,201.31
84fe-0603,11/28/09,124,1020,983.02
e370-1827,7/23/11,39,1096,452.61
1c71-13a7,4/19/09,157,1032,1361.20
3373-d878,5/24/08,1040,1032,10529.80
4956-42f6,6/9/11,46,1108,363.77
c7b4-cabb,3/6/12,117,1032,758.51
0b8c-50f0,7/11/09,448,1032,3462.64
3431-eb3d,7/4/09,65,1554,792.15
74b2-2e37,9/5/09,389,1020,3925.10
c08d-9d65,9/15/07,475,1032,3057.87
ce0c-2837,12/25/10,8,1138,104.10
3850-3644,1/24/10,134,1058,1711.06
4b9a-554a,8/24/07,902,1020,6633.11
a291-8d60,11/17/09,116,1032,972.66
aca6-5d06,8/27/11,56,1032,732.12
b0b8-6bcd,9/11/10,89,1058,596.54
b5b7-61e9,12/14/08,506,1032,3065.26
d81e-c4e3,2/7/11,71,2384,346.81
2ac2-5c8c,9/24/11,12,1578,166.36
405f-cf17,1/28/08,385,1032,3956.35
436e-6eed,5/1/11,17,1078,366.42
9be2-04b2,7/10/09,124,1032,1714.82
a20d-7206,1/2/12,17,1032,187.79
bd5b-8e71,2/7/10,85,1410,614.13
f3c3-a853,9/7/11,143,1032,1274.85
03ae-3e49,10/13/10,154,1138,1966.98
0fad-e386,2/27/10,370,1020,3306.12
5b44-a1a4,9/19/10,57,1032,432.21
89b3-0f35,7/12/10,75,1016,733.64
a5b6-3be4,12/2/09,365,1032,4437.70
bb11-3a0e,9/9/07,598,1032,5607.02
128a-4b57,12/28/10,560,1032,5116.07
33c5-3e3a,5/9/09,111,1020,2027.14
3b67-b241,6/27/09,216,1048,2914.55
6b86-cf86,11/9/08,387,1032,3305.20
8abb-9cad,7/9/08,709,1032,6565.46
9253-e3d2,3/27/09,490,1028,4059.63
de6e-9bf1,11/9/10,185,1596,1335.06
14e3-7663,11/8/09,243,1024,1597.45
1a76-da11,8/5/11,14,2040,115.56
6cab-e851,10/2/10,127,1032,1229.34
ab2e-3f5c,9/22/09,51,1032,961.95
c506-301d,4/20/12,7,1032,135.27
fc1b-4509,5/2/09,73,1032,747.31
36ea-b878,3/7/09,194,1020,1788.87
4cbd-3abf,6/14/08,133,1032,1380.24
792e-2858,4/12/09,77,1032,894.98
9570-8a1d,10/26/11,30,1048,266.89
c3b5-ff3b,2/9/11,322,1032,2191.32
ccce-6f8d,8/21/10,28,1032,323.76
101e-fd40,10/12/10,252,1032,2370.83
5bbb-4c2d,1/14/11,121,1032,830.23
9f3a-06fc,6/16/10,20,1058,177.41
b453-39ac,2/18/12,3,1032,20.46
bdcc-9731,3/14/09,314,1288,7069.15
cf3c-f12a,7/26/11,91,1032,723.14
f9b6-fd62,7/27/08,444,1032,3409.36
1535-d1cf,1/24/10,137,1724,968.57
15e4-0e7c,9/29/07,655,1032,15884.99
2a26-4c39,12/3/08,346,1032,2674.62
50a3-1a22,8/25/11,78,1032,651.78
619a-d74a,2/22/09,275,1032,3761.64
d89b-9e76,2/6/10,130,1666,1277.13
f66c-f266,11/1/11,4,1066,44.46
fe81-db85,10/11/09,196,1042,1306.87
048a-4158,12/18/09,162,1032,1358.06
24bc-1f9f,9/3/08,160,1032,2060.52
2ba0-3d8b,5/2/12,6,1032,45.14
9717-bc82,6/18/10,431,1032,3054.89
9904-5745,10/18/08,346,1024,3315.09
a1fd-d7da,9/3/10,325,1032,2819.39
ac47-34ee,9/19/11,22,1086,380.83
ba40-93e1,6/3/08,242,1032,2241.20
bc8c-c263,11/27/11,18,1750,342.82
c021-4da0,9/27/08,932,1012,7724.59
e1d7-607d,9/15/11,25,1046,197.70
f356-bfc3,3/12/09,516,1032,7475.75
0136-bac2,6/7/11,114,1592,1044.31
0e70-6fcd,2/5/12,23,1032,145.78
0ed7-3ea8,1/6/09,183,1032,2008.97
1eb0-886d,9/16/11,13,1042,155.44
236d-a91f,8/22/10,39,1032,258.34
